sym,fy,sales,sales_src,pat,pat_src,networth,networth_src,total_assets,total_assets_src,total_debt,total_debt_src,capex
PML,2019,4928.0,vistas,22.0,vistas,367.0,vistas,405.0,vistas,17.0,vistas,
PML,2020,5405.0,vistas,26.0,vistas,393.0,vistas,455.0,vistas,33.0,vistas,
PML,2021,3041.0,vistas,33.0,vistas,427.0,vistas,535.0,vistas,80.0,vistas,
PML,2022,5367.0,vistas,40.0,vistas,467.0,vistas,649.0,vistas,132.0,vistas,
PML,2023,7012.0,vistas,44.0,vistas,511.0,vistas,890.0,vistas,307.0,vistas,
PML,2024,6506.0,vistas,55.0,vistas,565.0,vistas,1156.0,vistas,493.0,vistas,
PML,2025,3336.0,vistas,64.0,vistas,629.0,vistas,1591.0,vistas,24.0,vistas,
PML,2026,2074.0,vistas,269.0,vistas,897.0,vistas,940.0,vistas,10.0,vistas,
PNB,2000,,,409.8489480850316,legacy_rescaled,2071.7295315039423,legacy_rescaled,54083.33788342912,legacy_rescaled,,,
PNB,2001,,,465.87363624385097,legacy_rescaled,2509.507288005889,legacy_rescaled,63466.14066013325,legacy_rescaled,,,
PNB,2002,,,565.1937851370344,legacy_rescaled,3109.760711516419,legacy_rescaled,72919.15471626095,legacy_rescaled,,,
PNB,2003,,,944.7077575983838,legacy_rescaled,4391.3919389258845,legacy_rescaled,88094.3630663011,legacy_rescaled,,,
PNB,2004,,,1204.3900298664792,legacy_rescaled,5549.575371191833,legacy_rescaled,104640.22508239023,legacy_rescaled,,,
PNB,2005,,,1365.3654888439917,legacy_rescaled,8929.700260395875,legacy_rescaled,128024.59777115927,legacy_rescaled,,,
PNB,2006,,,1538.6679879655655,legacy_rescaled,10373.871985165859,legacy_rescaled,148286.52189189874,legacy_rescaled,,,
PNB,2007,,,1638.4506522312015,legacy_rescaled,11624.211762707873,legacy_rescaled,166091.8905308736,legacy_rescaled,,,
PNB,2008,,,2214.4431658468025,legacy_rescaled,12464.86693625325,legacy_rescaled,203574.2025340187,legacy_rescaled,,,
PNB,2009,,,3213.3758235242444,legacy_rescaled,15177.29322581671,legacy_rescaled,253400.4907629028,legacy_rescaled,,,
PNB,2010,,,3992.7242807888265,legacy_rescaled,18596.3271312406,legacy_rescaled,303341.02344445925,legacy_rescaled,,,
PNB,2011,,,4597.73460668482,legacy_rescaled,22840.532561155986,legacy_rescaled,385989.8208609523,legacy_rescaled,,,
PNB,2012,,,5049.903711349261,legacy_rescaled,29982.26574046884,legacy_rescaled,470080.7221867215,legacy_rescaled,,,
PNB,2013,,,4979.360062368236,legacy_rescaled,35693.89538138168,legacy_rescaled,496260.7967152279,legacy_rescaled,,,
PNB,2014,,,3633.621312807449,legacy_rescaled,39633.192861086565,legacy_rescaled,574690.692572357,legacy_rescaled,,,
PNB,2015,,,3525.0,vistas,42040.0,vistas,636011.0,vistas,,,
PNB,2016,,,-3510.0,vistas,41805.0,vistas,712793.0,vistas,,,
PNB,2017,,,1239.0,vistas,43416.0,vistas,733311.0,vistas,,,
PNB,2018,,,-12111.0,vistas,41517.0,vistas,777528.0,vistas,,,
PNB,2019,,,-9550.0,vistas,46085.0,vistas,790120.0,vistas,,,
PNB,2020,,,485.0,vistas,63877.0,vistas,851457.0,vistas,,,
PNB,2021,,,2695.0,vistas,92535.0,vistas,1279725.0,vistas,,,
PNB,2022,,,3908.0,vistas,97582.0,vistas,1339301.0,vistas,,,
PNB,2023,,,3359.0,vistas,102880.0,vistas,1493649.0,vistas,,,
PNB,2024,,,9157.0,vistas,110387.0,vistas,1598636.0,vistas,,,
PNB,2025,,,18553.0,vistas,133138.0,vistas,1857544.0,vistas,,,
PNB,2026,,,18467.0,vistas,149973.0,vistas,2033331.0,vistas,,,
PNBHOUSING,2001,,,9.867767193305056,legacy_rescaled,60.201248225112515,legacy_rescaled,384.000420656257,legacy_rescaled,,,
PNBHOUSING,2002,,,9.177923286174309,legacy_rescaled,67.61140186876838,legacy_rescaled,584.2506400219223,legacy_rescaled,,,
PNBHOUSING,2003,,,11.917303439128297,legacy_rescaled,75.80157168544068,legacy_rescaled,725.1507943720957,legacy_rescaled,,,
PNBHOUSING,2004,,,15.496493565980586,legacy_rescaled,87.58181593945771,legacy_rescaled,862.5009448333898,legacy_rescaled,,,
PNBHOUSING,2005,,,11.217461794213044,legacy_rescaled,95.04197061984542,legacy_rescaled,953.4110444215677,legacy_rescaled,,,
PNBHOUSING,2006,,,17.83596420755443,legacy_rescaled,110.462290347939,legacy_rescaled,1223.1113398668606,legacy_rescaled,,,
PNBHOUSING,2007,,,27.973670321041084,legacy_rescaled,135.00279917591678,legacy_rescaled,1675.7818357482874,legacy_rescaled,,,
PNBHOUSING,2008,,,40.59081540508463,legacy_rescaled,168.5734952376614,legacy_rescaled,2095.8422959067957,legacy_rescaled,,,
