code,hold_name,best,best_name,te,ratio,n,name_agree
2363,Sundaram Small Cap Fund (G),119589,Sundaram Small Cap Fund Direct Plan - Growth,0.00442,3.32,151,True
2365,Kotak Small Cap Fund (G),120164,Kotak-Small Cap Fund - Growth - Direct,0.00326,4.5,151,True
2366,SBI Healthcare Opportunities Fund (G),119783,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,0.00431,2.85,151,True
2367,Franklin India Large & Mid Cap Fund (G),118510,Franklin India Large & Mid Cap Fund - Direct - Growth,0.00384,2.85,151,True
2383,SBI Equity Hybrid Fund (G),151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,0.01003,1.01,151,False
2397,Nippon India Multi Cap Fund (G),118651,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Bonus Option,0.00228,1.0,151,True
24095,Motilal Oswal Midcap Fund (G),127042,Motilal Oswal Midcap Fund-Direct Plan-Growth Option,0.00768,2.8,141,True
2414,Canara Robeco Large and Mid Cap Fund (G),118278,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,0.00474,1.92,151,True
2429,SBI Midcap Fund (G),119716,SBI MIDCAP FUND - DIRECT PLAN - GROWTH,0.00394,2.88,151,True
2439,HDFC Hybrid Equity Fund (G),151412,Mirae Asset Flexi Cap Fund - Direct Plan - Growth,0.00894,1.08,151,False
24869,Bank of India Balanced Advantage Fund (G),151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,0.00888,1.03,140,False
2492,UTI-Dividend Yield Fund (G),151755,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,0.01275,1.09,151,False
254,Quant ELSS Tax Saver Fund - Regular (G),120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,0.01215,1.27,151,True
2544,SBI Contra Fund (G),119835,SBI CONTRA FUND - DIRECT PLAN - GROWTH,0.00769,1.3,151,True
2553,SBI Large & Midcap Fund (G),119721,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth,0.00359,2.46,151,True
2557,Kotak Contra Fund (G),119769,Kotak Contra Fund - Direct Plan - Growth,0.00601,1.56,151,True
2559,Aditya Birla SL Consumption Fund - Regular (G),119591,Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan,0.00326,2.56,150,True
2563,Nippon India Aggressive Hybrid Fund (G),150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,0.00806,1.03,151,False
2565,Nippon India Value Fund (G),118784,Nippon India Value Fund - Direct Plan Growth Plan,0.00269,3.87,151,True
2566,Bandhan Large & Mid Cap Fund (G),118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,0.00492,2.03,151,True
2576,UTI-Value Fund (G),120751,UTI Value Fund - Direct Plan - Growth Option,0.00211,4.44,151,True
2579,SBI Comma Fund (G),119705,SBI COMMA Fund - DIRECT PLAN - Growth,0.00653,2.78,151,True
2582,SBI MNC Fund (G),119711,SBI MNC FUND - DIRECT PLAN -GROWTH,0.00869,2.1,151,True
2591,ICICI Pru Infrastructure Fund - (G),120621,ICICI Prudential Infrastructure Fund - Direct Plan -  Growth,0.00389,4.06,151,True
2593,HDFC Multi-Asset Fund - (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.00775,1.1,151,False
2595,Nippon India ELSS Tax Saver Fund - (G),118803,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,0.00236,3.85,151,True
2610,UTI-Flexi Cap Fund (G),120662,UTI - Flexi Cap Fund-Growth Option - Direct,0.00202,5.84,151,True
2612,UTI-Large & Mid Cap Fund (G),120665,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,0.00244,4.49,151,True
26134,Motilal Oswal Flexi Cap Fund (G),129046,Motilal Oswal Flexi cap Fund Direct Plan-Growth Option,0.00581,2.82,139,True
2615,UTI-Large Cap Fund (G),120656,UTI Large Cap Fund - Direct Plan - Growth Option,0.0023,3.21,151,True
2617,UTI-MNC Fund (G),120682,UTI - MNC Fund - Growth Option - Direct,0.00219,4.78,151,True
2619,UTI-Banking and Financial Services Fund (G),120733,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,0.00342,3.01,151,True
2620,UTI-Infrastructure Fund (G),120728,UTI Infrastructure Fund-Growth Option- Direct,0.00197,7.42,151,True
2624,UTI-Healthcare Fund (G),120782,UTI Healthcare Fund - Direct Plan - Growth Option,0.0036,2.91,151,True
2627,UTI-Mid Cap Fund (G),120726,UTI Mid Cap Fund-Growth Option- Direct,0.00321,3.53,151,True
2629,UTI-Transportation & Logistics Fund (G),120731,UTI-Transportation and Logistics  Fund-Growth Option- Direct,0.00461,2.31,151,True
2631,UTI-ELSS Tax Saver Fund (G),120715,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,0.00263,3.66,151,True
26325,HSBC Small Cap Fund (G),151130,HSBC Small Cap Fund - Direct Growth,0.00256,6.14,138,True
2640,Sundaram Infrastructure Advantage Fund (G),129212,Sundaram Infrastructure Advantage Fund Direct Plan - Growth,0.00303,4.48,151,True
26451,ICICI Pru Dividend Yield Equity Fund - Regular (G),151755,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,0.01037,1.11,138,False
2652,Aditya Birla SL Focused Fund (G),119564,Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,0.00423,1.72,151,True
2655,SBI Flexi Cap Fund (G),119718,SBI Flexicap Fund - DIRECT PLAN - Growth Option,0.00405,2.36,151,False
26663,Union Small Cap Fund (G),129649,Union Small Cap Fund - Direct Plan - Growth Option,0.00448,3.19,136,True
